from_id;to_id;walk_t;walk_d;pt_r_tt;pt_r_t;pt_r_d;pt_m_tt;pt_m_t;pt_m_d;car_r_t;car_r_d;car_m_t;car_m_d
5945730;5859425;223;15638;108;88;24072;109;91;24072;39;24096;34;24096
5945731;5859425;223;15605;108;87;24039;107;90;24039;38;23769;33;23769
5945732;5859425;220;15395;107;87;24017;107;90;24017;37;23423;32;23423
5945733;5859425;218;15286;108;90;26520;108;93;24253;35;22715;30;22715
5945734;5859425;217;15173;113;100;23450;112;98;23450;35;22487;30;22487
5945735;5859425;220;15381;99;84;26087;109;91;28245;35;22515;31;22515
5945736;5859425;212;14832;94;76;25481;100;85;27846;35;22249;30;22249
5945737;5859425;210;14666;93;79;25714;99;83;27699;37;22532;33;22532
5945738;5859425;208;14535;95;84;26071;100;87;27973;40;23241;35;23134
5945739;5859425;216;15125;102;90;26459;110;99;28531;35;21731;31;21731
5945740;5859425;224;15712;114;93;26968;120;107;26968;34;21423;30;21423
5945741;5859425;223;15623;114;92;26879;120;106;26879;37;22069;33;22069
5945742;5859425;210;14665;112;92;26678;116;97;22882;33;20924;29;20924
5945743;5859425;204;14283;109;103;22755;111;92;22301;37;21666;32;21666
5945744;5859425;202;14136;101;93;22605;103;85;21810;36;21230;32;21230
5945745;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5945746;5859425;196;13701;98;89;22235;101;81;21439;35;20336;31;20336
5945747;5859425;195;13616;93;91;22949;98;84;21928;34;19959;30;19959
5945748;5859425;194;13615;92;84;21660;94;77;20864;33;19663;29;19663
5945749;5859425;192;13424;86;78;21035;87;71;20469;35;19441;31;19441
5945750;5859425;194;13564;88;81;21232;91;74;20666;33;19660;29;19660
5945751;5859425;198;13849;93;90;19535;94;79;21009;33;19931;30;19931
5945752;5859425;196;13731;94;89;19114;100;84;21330;35;20331;31;20331
5945753;5859425;200;13990;100;93;19403;106;88;21619;36;21128;32;21342
5945754;5859425;202;14152;101;92;24058;107;90;21784;35;21262;31;21476
5945755;5859425;206;14417;103;93;24865;111;94;22050;34;20806;30;20806
5945756;5859425;216;15144;110;100;18941;110;96;19531;36;21164;32;21164
5945757;5859425;200;13994;94;83;17307;95;83;17512;34;21268;30;21268
5945758;5859425;201;14084;89;78;17912;94;79;17376;38;18468;33;18439
5945759;5859425;201;14037;89;80;17163;93;76;17163;38;18389;33;18360
5945760;5859425;199;13961;87;75;16630;87;71;16630;36;18148;31;18148
5945761;5859425;203;14193;86;72;17882;90;74;16862;37;17549;32;17549
5945762;5859425;204;14289;82;70;16711;88;74;17692;34;17143;30;17143
5945763;5859425;200;14018;76;67;16502;81;70;17338;34;16930;29;16930
5945764;5859425;201;14043;76;66;16441;77;70;16603;32;16655;28;16655
5945765;5859425;199;13942;72;63;16362;74;67;16362;31;16395;27;16395
5945766;5859425;200;13985;68;59;16089;69;63;16089;31;16224;27;16224
5945767;5859425;202;14108;67;55;16233;67;59;16233;31;16776;28;16776
5945768;5859425;205;14325;66;53;15692;66;57;15692;30;15722;27;15860
5945769;5859425;208;14563;67;55;15816;66;59;15816;30;15921;26;15971
5945770;5859425;213;14884;68;59;16143;70;63;16143;34;16266;31;16316
5945771;5859425;214;15010;71;64;16136;72;59;16136;34;16757;30;16807
